ID,nonPA,mahal.min,LC,times.with.error,times,n
517,158,8.024718525891943,Cropland,1,1,42
172,7,12.834389130741856,Cropland,1,1,42
338,60,11.040555494802554,Cropland,1,1,42
488,233,2.4854725508236584,Cropland,1,1,42
640,163,17.355861615200332,Cropland,1,1,42
741,11,2.106102995003211,Cropland,1,1,42
428,235,16.512196702369135,Cropland,1,1,42
462,216,0.20206845148986166,Cropland,1,1,42
404,406,3.4089402912940545,Cropland,1,1,42
455,86,15.523210527448585,Cropland,1,1,42
813,713,15.569250924168417,Cropland,1,1,42
350,320,1.8157996417318822,Cropland,1,1,42
573,240,7.69976921203956,Cropland,1,1,42
643,229,5.943669229895363,Cropland,1,1,42
313,666,4.9363484619397004,Grassland,1,1,42
195,37,0.42962177214149744,Grassland,1,1,42
144,147,1.502314071289554,Grassland,1,1,42
602,102,1.4692442058480903,Grassland,1,1,42
75,169,4.570422019447038,Grassland,1,1,42
13,170,1.0406899523876734,Grassland,1,1,42
82,113,8.311455838584319,Grassland,1,1,42
114,126,5.361684773429757,Grassland,1,1,42
481,416,2.8421906158513046,Grassland,1,1,42
174,269,7.101401597470369,Grassland,1,1,42
143,179,15.923643554790416,Grassland,1,1,42
353,405,5.772553716096428,Grassland,1,1,42
245,121,8.861182937451746,Grassland,1,1,42
251,9,2.188501434057684,Grassland,1,1,42
408,561,15.657122386221838,Woodland,1,1,42
630,331,15.296705554603887,Woodland,1,1,42
419,317,5.3365058824748255,Woodland,1,1,42
611,122,9.546010552649454,Woodland,1,1,42
255,241,2.506034059308614,Woodland,1,1,42
625,140,9.204643064903193,Woodland,1,1,42
677,810,11.702309751051876,Woodland,1,1,42
443,297,4.64955395884449,Woodland,1,1,42
464,154,17.035990082140664,Woodland,1,1,42
706,89,9.542142093796963,Woodland,1,1,42
280,286,15.615471324391777,Woodland,1,1,42
628,225,1.766422049249949,Woodland,1,1,42
506,868,5.891309093123465,Woodland,1,1,42
857,783,9.986834474216026,Woodland,1,1,42
172,86,15.102682758295188,Cropland,2,2,42
338,70,5.406083615445922,Cropland,2,2,42
573,216,1.2694448954745945,Cropland,2,2,42
640,247,16.38272738175996,Cropland,2,2,42
455,238,11.234873866355462,Cropland,2,2,42
741,95,10.4064193261085,Cropland,2,2,42
488,288,10.436840148028285,Cropland,2,2,42
324,181,15.533667319571377,Cropland,2,2,42
462,314,4.328830638904533,Cropland,2,2,42
